Wk,Home,xGh,Score,xGa,Away,Attendance,Referee
1,Crystal Palace,1.2,0–2,1,Arsenal,"25,286",Anthony Taylor
1,Fulham,1.2,2–2,1.2,Liverpool,"22,207",Andy Madley
1,Tottenham,1.5,4–1,0.5,Southampton,"61,732",Andre Marriner
1,Newcastle Utd,1.7,2–0,0.3,Nott'ham Forest,"52,245",Simon Hooper
1,Leeds United,0.8,2–1,1.3,Wolves,"36,347",Robert Jones
1,Bournemouth,0.6,2–0,0.7,Aston Villa,"11,013",Peter Bankes
1,Everton,0.7,0–1,1.5,Chelsea,"39,254",Craig Pawson
1,Leicester City,0.6,2–2,0.8,Brentford,"31,794",Jarred Gillett
1,Manchester Utd,1.4,1–2,1.5,Brighton,"73,711",Paul Tierney
1,West Ham,0.5,0–2,2.2,Manchester City,"62,443",Michael Oliver
2,Aston Villa,2.3,2–1,1.6,Everton,"41,883",Michael Oliver
2,Manchester City,1.7,4–0,0.1,Bournemouth,"53,453",David Coote
2,Southampton,1.2,2–2,1.8,Leeds United,"30,815",Tony Harrington
2,Wolves,0.9,0–0,1.5,Fulham,"31,178",John Brooks
2,Arsenal,2.7,4–2,0.5,Leicester City,"60,033",Darren England
2,Brighton,1.5,0–0,0.2,Newcastle Utd,"31,552",Graham Scott
2,Brentford,1.6,4–0,0.9,Manchester Utd,"17,051",Stuart Attwell
2,Nott'ham Forest,1.3,1–0,2.1,West Ham,"29,281",Robert Jones
2,Chelsea,1.6,2–2,1,Tottenham,"39,946",Anthony Taylor
2,Liverpool,2,1–1,1,Crystal Palace,"52,970",Paul Tierney
3,Tottenham,1.7,1–0,0.7,Wolves,"61,298",Simon Hooper
3,Leicester City,0.3,1–2,0.9,Southampton,"30,850",Michael Salisbury
3,Everton,1.5,1–1,1,Nott'ham Forest,"39,271",Andre Marriner
3,Crystal Palace,2.6,3–1,0.9,Aston Villa,"22,012",Andy Madley
3,Fulham,2.4,3–2,1.8,Brentford,"21,798",Peter Bankes
3,Bournemouth,0.3,0–3,1.3,Arsenal,"10,423",Craig Pawson
3,Leeds United,2.1,3–0,0.9,Chelsea,"36,372",Stuart Attwell
3,West Ham,0.8,0–2,1.7,Brighton,"62,449",Anthony Taylor
3,Newcastle Utd,1.8,3–3,2.1,Manchester City,"52,258",Jarred Gillett
3,Manchester Utd,1.8,2–1,1.3,Liverpool,"74,147",Michael Oliver
4,Southampton,1.4,0–1,1.1,Manchester Utd,"31,196",Andy Madley
4,Manchester City,2.2,4–2,0.1,Crystal Palace,"53,112",Darren England
4,Brighton,2,1–0,1.8,Leeds United,"30,953",Michael Salisbury
4,Chelsea,1.8,2–1,2.5,Leicester City,"39,953",Paul Tierney
4,Brentford,2.1,1–1,1.1,Everton,"17,009",John Brooks
4,Liverpool,3.3,9–0,0.3,Bournemouth,"53,328",Stuart Attwell
4,Arsenal,2.6,2–1,0.8,Fulham,"60,164",Jarred Gillett
4,Wolves,0.7,1–1,1.7,Newcastle Utd,"31,311",Peter Bankes
4,Aston Villa,0.5,0–1,0.6,West Ham,"41,796",David Coote
4,Nott'ham Forest,0.9,0–2,2.4,Tottenham,"29,296",Craig Pawson
5,Fulham,0.7,2–1,1.4,Brighton,"22,224",Thomas Bramall
5,Crystal Palace,1,1–1,1.4,Brentford,"25,043",Simon Hooper
5,Southampton,1.1,2–1,1.1,Chelsea,"31,542",Michael Oliver
5,Leeds United,1,1–1,1,Everton,"36,338",Darren England
5,Bournemouth,0.4,0–0,1.5,Wolves,"10,113",Anthony Taylor
5,Manchester City,3.3,6–0,0.7,Nott'ham Forest,"53,409",Paul Tierney
5,Arsenal,2.4,2–1,0.4,Aston Villa,"60,012",Robert Jones
5,West Ham,1.2,1–1,0.6,Tottenham,"62,450",Peter Bankes
5,Liverpool,1.5,2–1,0.7,Newcastle Utd,"53,316",Andre Marriner
5,Leicester City,0.7,0–1,1.5,Manchester Utd,"32,226",Craig Pawson
6,Everton,1.7,0–0,2.1,Liverpool,"39,240",Anthony Taylor
6,Nott'ham Forest,1.9,2–3,0.8,Bournemouth,"28,720",Michael Oliver
6,Wolves,0.8,1–0,1.2,Southampton,"30,546",John Brooks
6,Newcastle Utd,2.8,0–0,1,Crystal Palace,"51,863",Michael Salisbury
6,Brentford,2.3,5–2,1.7,Leeds United,"17,092",Robert Jones
6,Tottenham,2.9,2–1,0.7,Fulham,"61,641",Stuart Attwell
6,Chelsea,0.9,2–1,1.1,West Ham,"39,923",Andy Madley
6,Aston Villa,0.3,1–1,2.1,Manchester City,"41,830",Simon Hooper
6,Brighton,2.6,5–2,1.4,Leicester City,"31,185",Tony Harrington
6,Manchester Utd,1.5,3–1,1.3,Arsenal,"73,431",Paul Tierney
8,Aston Villa,1.5,1–0,0.3,Southampton,"40,758",Tony Harrington
8,Nott'ham Forest,1.4,2–3,0.9,Fulham,"28,654",Jarred Gillett
8,Wolves,0.4,0–3,1.1,Manchester City,"31,578",Anthony Taylor
8,Newcastle Utd,1.9,1–1,0.7,Bournemouth,"52,238",Craig Pawson
8,Tottenham,2.2,6–2,1.8,Leicester City,"61,450",Simon Hooper
8,Brentford,0.5,0–3,1.5,Arsenal,"17,122",David Coote
8,Everton,0.4,1–0,1,West Ham,"39,298",Michael Oliver
9,Arsenal,2.4,3–1,1.6,Tottenham,"60,278",Anthony Taylor
9,Southampton,1.7,1–2,2,Everton,"30,510",Andre Marriner
9,Crystal Palace,0.4,1–2,1.1,Chelsea,"25,198",Chris Kavanagh
9,Liverpool,1.5,3–3,1.4,Brighton,"53,320",Andy Madley
9,Fulham,0.5,1–4,3.3,Newcastle Utd,"22,913",Darren England
9,Bournemouth,0.4,0–0,0.9,Brentford,"10,126",Thomas Bramall
9,West Ham,0.9,2–0,0.7,Wolves,"62,444",Paul Tierney
9,Manchester City,3.2,6–3,1.7,Manchester Utd,"53,475",Michael Oliver
9,Leeds United,0.4,0–0,2.2,Aston Villa,"36,582",Stuart Attwell
9,Leicester City,1.3,4–0,1.1,Nott'ham Forest,"32,202",Robert Jones
10,Bournemouth,1.1,2–1,1,Leicester City,"10,272",Michael Salisbury
10,Newcastle Utd,1.5,5–1,1.2,Brentford,"52,067",John Brooks
10,Manchester City,2.4,4–0,0.2,Southampton,"53,365",Andy Madley
10,Chelsea,1.9,3–0,1.1,Wolves,"39,940",Simon Hooper
10,Brighton,0.7,0–1,0.8,Tottenham,"31,498",Tony Harrington
10,West Ham,2.4,3–1,0.7,Fulham,"62,407",Chris Kavanagh
10,Crystal Palace,1.1,2–1,1,Leeds United,"25,042",Paul Tierney
10,Arsenal,2.7,3–2,1.1,Liverpool,"60,059",Michael Oliver
10,Everton,0.6,1–2,1.4,Manchester Utd,"39,258",David Coote
10,Nott'ham Forest,0.3,1–1,0.7,Aston Villa,"29,208",Anthony Taylor
11,Brentford,1.5,2–0,1.9,Brighton,"17,016",Michael Salisbury
11,Leicester City,1,0–0,0.4,Crystal Palace,"31,298",Andy Madley
11,Fulham,2.1,2–2,1,Bournemouth,"22,541",Graham Scott
11,Wolves,1.3,1–0,1.5,Nott'ham Forest,"31,554",Thomas Bramall
11,Tottenham,2.2,2–0,0.4,Everton,"61,812",Paul Tierney
11,Southampton,0.5,1–1,1.7,West Ham,"29,159",Peter Bankes
11,Aston Villa,1.8,0–2,0.9,Chelsea,"41,754",Robert Jones
11,Leeds United,1.8,0–1,0.5,Arsenal,"36,700",Chris Kavanagh
11,Manchester Utd,0.8,0–0,0.8,Newcastle Utd,"73,726",Craig Pawson
11,Liverpool,2.1,1–0,1,Manchester City,"53,286",Anthony Taylor
12,Brighton,1.7,0–0,0.1,Nott'ham Forest,"31,463",Darren England
12,Crystal Palace,1.2,2–1,0.8,Wolves,"25,125",David Coote
12,Bournemouth,1,0–1,1,Southampton,"10,405",John Brooks
12,Brentford,1.3,0–0,0.9,Chelsea,"17,118",Jarred Gillett
12,Liverpool,1.7,1–0,1.7,West Ham,"52,982",Stuart Attwell
12,Newcastle Utd,1.5,1–0,0.2,Everton,"52,247",Tony Harrington
12,Manchester Utd,1.5,2–0,0.6,Tottenham,"73,677",Simon Hooper
12,Fulham,2.1,3–0,1.2,Aston Villa,"23,508",Michael Oliver
12,Leicester City,0.8,2–0,1.3,Leeds United,"30,814",Peter Bankes
13,Nott'ham Forest,1.9,1–0,1.6,Liverpool,"29,245",Paul Tierney
13,Everton,1.4,3–0,0.9,Crystal Palace,"38,939",Simon Hooper
13,Manchester City,1.6,3–1,0.5,Brighton,"53,223",Craig Pawson
13,Chelsea,1.1,1–1,0.8,Manchester Utd,"39,503",Stuart Attwell
13,Aston Villa,2.8,4–0,0.9,Brentford,"41,693",Darren England
13,Wolves,2.1,0–4,0.9,Leicester City,"31,425",Michael Oliver
13,Leeds United,1.6,2–3,1.8,Fulham,"36,447",Anthony Taylor
13,Southampton,0.7,1–1,1,Arsenal,"31,145",Robert Jones
13,Tottenham,1.6,1–2,1.2,Newcastle Utd,"61,726",Jarred Gillett
13,West Ham,1.9,2–0,0.4,Bournemouth,"62,447",David Coote
14,Leicester City,0.7,0–1,1,Manchester City,"32,223",Robert Jones
14,Brentford,1.4,1–1,0.6,Wolves,"17,051",Robert Madley
14,Crystal Palace,0.9,1–0,1.3,Southampton,"25,130",Michael Salisbury
14,Newcastle Utd,3.4,4–0,0.4,Aston Villa,"52,233",Paul Tierney
14,Brighton,2.4,4–1,1.4,Chelsea,"31,746",Andy Madley
14,Bournemouth,0.5,2–3,2,Tottenham,"10,430",Anthony Taylor
14,Fulham,1.9,0–0,0.9,Everton,"23,534",John Brooks
14,Liverpool,1.7,1–2,1.8,Leeds United,"53,274",Michael Oliver
14,Arsenal,2.3,5–0,0.4,Nott'ham Forest,"60,263",Simon Hooper
14,Manchester Utd,1.2,1–0,1.1,West Ham,"73,682",Chris Kavanagh
15,Nott'ham Forest,1.5,2–2,1.5,Brentford,"28,869",Andre Marriner
15,Leeds United,2.2,4–3,1.5,Bournemouth,"36,304",Tony Harrington
15,Manchester City,2.1,2–1,1,Fulham,"52,395",Darren England
15,Wolves,1.2,2–3,1.5,Brighton,"30,732",Graham Scott
15,Everton,1.2,0–2,2.3,Leicester City,"39,206",David Coote
15,Chelsea,0.3,0–1,2.1,Arsenal,"40,142",Michael Oliver
15,West Ham,0.3,1–2,1,Crystal Palace,"62,451",Paul Tierney
15,Southampton,1.7,1–4,0.9,Newcastle Utd,"30,402",Stuart Attwell
15,Aston Villa,0.6,3–1,0.5,Manchester Utd,"42,058",Anthony Taylor
15,Tottenham,1.2,1–2,1.2,Liverpool,"62,008",Andy Madley
16,Manchester City,1.6,1–2,1.3,Brentford,"52,786",Peter Bankes
16,Tottenham,1.8,4–3,1.1,Leeds United,"61,667",Michael Salisbury
16,Liverpool,1.9,3–1,1.1,Southampton,"53,331",Simon Hooper
16,Bournemouth,2.4,3–0,0.8,Everton,"10,382",Craig Pawson
16,West Ham,1.4,0–2,1.8,Leicester City,"62,459",Jarred Gillett
16,Nott'ham Forest,1.1,1–0,1.2,Crystal Palace,"29,045",John Brooks
16,Newcastle Utd,1,1–0,0.3,Chelsea,"52,264",Robert Jones
16,Wolves,0.7,0–2,2.1,Arsenal,"34,624",Stuart Attwell
16,Brighton,0.6,1–2,1.5,Aston Villa,"31,581",Chris Kavanagh
16,Fulham,1.4,1–2,2.5,Manchester Utd,"24,246",Paul Tierney
17,Brentford,2,2–2,1.1,Tottenham,"17,137",David Coote
17,Southampton,1.9,1–3,0.6,Brighton,"31,010",Robert Jones
17,Leicester City,0.5,0–3,1.9,Newcastle Utd,"32,185",Jarred Gillett
17,Crystal Palace,0.4,0–3,2.5,Fulham,"25,176",Andy Madley
17,Everton,1.7,1–2,0.8,Wolves,"39,252",Craig Pawson
17,Aston Villa,1.4,1–3,2.7,Liverpool,"42,085",Paul Tierney
17,Arsenal,2.1,3–1,1,West Ham,"60,125",Michael Oliver
17,Chelsea,1.8,2–0,0.5,Bournemouth,"40,046",Simon Hooper
17,Manchester Utd,2.4,3–0,0.7,Nott'ham Forest,"73,608",Anthony Taylor
17,Leeds United,0.6,1–3,4.3,Manchester City,"36,889",Stuart Attwell
18,West Ham,1.3,0–2,1.6,Brentford,"62,467",Darren England
18,Liverpool,2.2,2–1,1,Leicester City,"53,343",Craig Pawson
18,Wolves,0.7,0–1,2,Manchester Utd,"31,658",Robert Jones
18,Newcastle Utd,2.2,0–0,0.4,Leeds United,"52,211",Simon Hooper
18,Fulham,1.5,2–1,0.8,Southampton,"24,344",Graham Scott
18,Manchester City,1.7,1–1,0.1,Everton,"53,444",Andy Madley
18,Bournemouth,0.6,0–2,1.6,Crystal Palace,"9,972",Andre Marriner
18,Brighton,1.2,2–4,2.9,Arsenal,"31,647",Anthony Taylor
18,Tottenham,0.7,0–2,1,Aston Villa,"61,651",John Brooks
18,Nott'ham Forest,1.4,1–1,0.9,Chelsea,"29,229",Peter Bankes
19,Brentford,1.7,3–1,2,Liverpool,"17,163",Stuart Attwell
19,Leicester City,1.7,0–1,1.7,Fulham,"30,813",Darren Bond
19,Everton,1.3,1–4,2.2,Brighton,"39,103",Andre Marriner
19,Arsenal,1.1,0–0,1,Newcastle Utd,"60,319",Andy Madley
19,Manchester Utd,2.2,3–0,0.6,Bournemouth,"73,322",Michael Salisbury
19,Southampton,0.5,0–1,1.4,Nott'ham Forest,"30,150",Thomas Bramall
19,Leeds United,1.6,2–2,1.4,West Ham,"36,173",David Coote
19,Aston Villa,1.8,1–1,0.9,Wolves,"39,978",Jarred Gillett
19,Crystal Palace,0.8,0–4,1.4,Tottenham,"25,132",Michael Oliver
19,Chelsea,0.4,0–1,2.1,Manchester City,"39,998",Paul Tierney
7,Fulham,1,2–1,2.1,Chelsea,"24,460",David Coote
20,Aston Villa,1.2,2–1,2.4,Leeds United,"42,008",Michael Oliver
20,Manchester Utd,1.7,2–1,0.6,Manchester City,"75,546",Stuart Attwell
20,Everton,1.4,1–2,1.2,Southampton,"39,305",John Brooks
20,Wolves,0.9,1–0,1.1,West Ham,"31,511",Simon Hooper
20,Nott'ham Forest,2.4,2–0,1,Leicester City,"29,301",Paul Tierney
20,Brighton,1.9,3–0,1,Liverpool,"31,645",Darren England
20,Brentford,1.4,2–0,0.6,Bournemouth,"17,031",Jarred Gillett
20,Chelsea,1.5,1–0,0.7,Crystal Palace,"40,075",Peter Bankes
20,Newcastle Utd,2.2,1–0,1.1,Fulham,"52,247",Robert Jones
20,Tottenham,1.6,0–2,1.8,Arsenal,"61,870",Craig Pawson
7,Crystal Palace,0.5,1–1,2.1,Manchester Utd,"23,343",Robert Jones
7,Manchester City,2.3,4–2,0.8,Tottenham,"53,088",Simon Hooper
