Wk,Home,xGh,Score,xGa,Away,Attendance,Referee
21,Liverpool,1.4,0–0,1.6,Chelsea,"53,126",Michael Oliver
21,Bournemouth,1.4,1–1,1.9,Nott'ham Forest,"10,248",Andy Madley
21,Southampton,0.6,0–1,1.4,Aston Villa,"30,158",Michael Salisbury
21,Leicester City,0.9,2–2,1.7,Brighton,"32,056",Thomas Bramall
21,West Ham,2.2,2–0,0.5,Everton,"62,470",Stuart Attwell
21,Crystal Palace,0.3,0–0,1.2,Newcastle Utd,"25,350",Craig Pawson
21,Manchester City,2.8,3–0,0.8,Wolves,"53,282",David Coote
21,Leeds United,0.5,0–0,0.4,Brentford,"36,260",Peter Bankes
21,Arsenal,3.1,3–2,0.4,Manchester Utd,"60,325",Anthony Taylor
21,Fulham,1,0–1,0.9,Tottenham,"24,190",Paul Tierney
22,Chelsea,1.3,0–0,0.6,Fulham,"40,041",Stuart Attwell
22,Everton,1.7,1–0,0.9,Arsenal,"39,314",David Coote
22,Aston Villa,1.7,2–4,2.6,Leicester City,"42,055",Darren England
22,Wolves,2,3–0,1.8,Liverpool,"31,664",Paul Tierney
22,Manchester Utd,2,2–1,1.3,Crystal Palace,"73,420",Andre Marriner
22,Brighton,2.2,1–0,1.1,Bournemouth,"31,600",Craig Pawson
22,Brentford,2.2,3–0,0.7,Southampton,"17,051",Darren Bond
22,Newcastle Utd,1,1–1,1,West Ham,"52,256",Peter Bankes
22,Nott'ham Forest,0.4,1–0,0.9,Leeds United,"29,363",Robert Jones
22,Tottenham,1.4,1–0,1.3,Manchester City,"61,747",Andy Madley
8,Manchester Utd,2,2–2,0.6,Leeds United,"73,456",Simon Hooper
23,West Ham,1.3,1–1,1.1,Chelsea,"62,471",Craig Pawson
23,Leicester City,1.7,4–1,1.3,Tottenham,"32,184",Michael Salisbury
23,Crystal Palace,1.1,1–1,2.5,Brighton,"24,827",Michael Oliver
23,Arsenal,1.6,1–1,2,Brentford,"60,254",Peter Bankes
23,Southampton,1.1,1–2,0.8,Wolves,"29,751",Jarred Gillett
23,Fulham,1.5,2–0,0.7,Nott'ham Forest,"24,244",Andy Madley
23,Bournemouth,1.5,1–1,1.3,Newcastle Utd,"10,419",Stuart Attwell
23,Leeds United,1.8,0–2,1.1,Manchester Utd,"36,919",Paul Tierney
23,Manchester City,3.3,3–1,0.3,Aston Villa,"53,392",Robert Jones
23,Liverpool,2.3,2–0,0.4,Everton,"53,027",Simon Hooper
12,Arsenal,1.6,1–3,1.8,Manchester City,"60,276",Anthony Taylor
24,Aston Villa,0.5,2–4,3.2,Arsenal,"42,066",Simon Hooper
24,Brighton,2.2,0–1,0.3,Fulham,"31,619",Darren England
24,Nott'ham Forest,0.9,1–1,2.4,Manchester City,"29,365",Graham Scott
24,Chelsea,1.6,0–1,0.6,Southampton,"40,152",David Coote
24,Everton,1.4,1–0,0.5,Leeds United,"39,232",Andy Madley
24,Wolves,1.3,0–1,1.1,Bournemouth,"31,222",Michael Salisbury
24,Brentford,0.9,1–1,1.1,Crystal Palace,"17,122",Paul Tierney
24,Newcastle Utd,2,0–2,1.9,Liverpool,"52,758",Anthony Taylor
24,Manchester Utd,4.4,3–0,1.6,Leicester City,"73,578",Stuart Attwell
24,Tottenham,1.5,2–0,0.5,West Ham,"61,476",Michael Oliver
25,Fulham,0.5,1–1,0.8,Wolves,"24,399",Michael Oliver
25,Leicester City,0,0–1,0.7,Arsenal,"32,227",Craig Pawson
25,Everton,1.6,0–2,1.9,Aston Villa,"39,309",Anthony Taylor
25,West Ham,2.7,4–0,0.4,Nott'ham Forest,"62,469",Jarred Gillett
25,Leeds United,0.9,1–0,0.4,Southampton,"36,641",Peter Bankes
25,Bournemouth,1,1–4,2.4,Manchester City,"10,481",Paul Tierney
25,Crystal Palace,0.7,0–0,0.9,Liverpool,"25,842",Darren England
25,Tottenham,0.8,2–0,0.4,Chelsea,"61,613",Stuart Attwell
7,Arsenal,2.6,4–0,1.2,Everton,"60,213",Michael Oliver
7,Liverpool,2.6,2–0,0.8,Wolves,"53,259",Paul Tierney
26,Manchester City,1.3,2–0,0.4,Newcastle Utd,"53,419",Simon Hooper
26,Arsenal,2.1,3–2,1.3,Bournemouth,"60,222",Chris Kavanagh
26,Aston Villa,1.2,1–0,0.2,Crystal Palace,"41,893",Craig Pawson
26,Chelsea,1.5,1–0,1,Leeds United,"39,905",Michael Oliver
26,Brighton,3.5,4–0,0.3,West Ham,"31,523",Stuart Attwell
26,Wolves,0.5,1–0,1.2,Tottenham,"31,585",Tim Robinson
26,Southampton,1.4,1–0,1.9,Leicester City,"30,139",Robert Jones
26,Nott'ham Forest,0.8,2–2,1.7,Everton,"29,353",John Brooks
26,Liverpool,2.8,7–0,0.8,Manchester Utd,"53,001",Andy Madley
26,Brentford,2.2,3–2,1.4,Fulham,"17,025",Anthony Taylor
27,Bournemouth,0.9,1–0,1.7,Liverpool,"10,536",John Brooks
27,Leeds United,0.9,2–2,2.7,Brighton,"36,471",Paul Tierney
27,Everton,1,1–0,2,Brentford,"39,274",Simon Hooper
27,Leicester City,2.4,1–3,1.6,Chelsea,"32,170",Andre Marriner
27,Tottenham,2,3–1,1.5,Nott'ham Forest,"61,460",Craig Pawson
27,Crystal Palace,0.2,0–1,2.1,Manchester City,"25,844",Robert Jones
27,Manchester Utd,0.8,0–0,1,Southampton,"73,439",Anthony Taylor
27,Fulham,0.8,0–3,2.3,Arsenal,"24,426",David Coote
27,West Ham,2.1,1–1,1.5,Aston Villa,"62,472",Chris Kavanagh
27,Newcastle Utd,1.8,2–1,1.1,Wolves,"52,240",Andy Madley
7,Southampton,0.5,0–2,1.9,Brentford,"30,438",Michael Salisbury
8,Brighton,0.6,1–0,1.1,Crystal Palace,"30,933",Peter Bankes
28,Nott'ham Forest,0.4,1–2,2.4,Newcastle Utd,"29,362",Paul Tierney
28,Wolves,2.7,2–4,1.6,Leeds United,"31,570",Michael Salisbury
28,Brentford,0.6,1–1,1.3,Leicester City,"17,006",Darren Bond
28,Aston Villa,3.5,3–0,1.3,Bournemouth,"41,021",Robert Jones
28,Southampton,2.4,3–3,2.3,Tottenham,"30,157",Simon Hooper
28,Chelsea,2.3,2–2,1.2,Everton,"40,025",Darren England
28,Arsenal,1.6,4–1,0.8,Crystal Palace,"60,247",Stuart Attwell
29,Manchester City,2.9,4–1,0.3,Liverpool,"52,877",Simon Hooper
29,Arsenal,3.8,4–1,0.7,Leeds United,"60,283",Darren England
29,Nott'ham Forest,1.3,1–1,0.5,Wolves,"29,368",Chris Kavanagh
29,Brighton,4.2,3–3,1.6,Brentford,"31,493",Michael Oliver
29,Crystal Palace,2.3,2–1,0.2,Leicester City,"25,147",Tim Robinson
29,Bournemouth,2.6,2–1,0.8,Fulham,"10,305",Peter Bankes
29,Chelsea,2.1,0–2,0.9,Aston Villa,"40,082",Andy Madley
29,West Ham,1.4,1–0,0.3,Southampton,"62,498",Paul Tierney
29,Newcastle Utd,3.7,2–0,0.4,Manchester Utd,"52,268",Stuart Attwell
29,Everton,0.9,1–1,1.4,Tottenham,"39,294",David Coote
7,Leeds United,1.8,2–1,0.8,Nott'ham Forest,"36,740",Robert Jones
7,Bournemouth,1.7,0–2,2.7,Brighton,"10,266",Darren Bond
7,Leicester City,0.5,1–2,1,Aston Villa,"32,087",Graham Scott
8,Chelsea,2.2,0–0,0.3,Liverpool,"40,093",Anthony Taylor
7,West Ham,1,1–5,3.3,Newcastle Utd,"62,481",Craig Pawson
25,Manchester Utd,1.2,1–0,0.7,Brentford,"73,309",John Brooks
30,Manchester Utd,3.4,2–0,1,Everton,"73,509",Michael Oliver
30,Fulham,0.7,0–1,1.1,West Ham,"24,491",Jarred Gillett
30,Aston Villa,1.3,2–0,0.2,Nott'ham Forest,"42,076",Anthony Taylor
30,Leicester City,0.7,0–1,2,Bournemouth,"32,094",David Coote
30,Brentford,2.6,1–2,1.3,Newcastle Utd,"17,107",Chris Kavanagh
30,Wolves,0.6,1–0,1.1,Chelsea,"31,614",Peter Bankes
30,Tottenham,0.8,2–1,1.4,Brighton,"61,405",Stuart Attwell
30,Southampton,0.4,1–4,2.9,Manchester City,"30,963",Robert Jones
30,Leeds United,0.9,1–5,3,Crystal Palace,"36,427",Simon Hooper
30,Liverpool,3.9,2–2,1.4,Arsenal,"53,267",Paul Tierney
31,Aston Villa,1.9,3–0,0.5,Newcastle Utd,"42,055",John Brooks
31,Chelsea,0.5,1–2,2.9,Brighton,"40,126",Robert Jones
31,Southampton,0.8,0–2,0.9,Crystal Palace,"30,309",Michael Oliver
31,Wolves,0.8,2–0,1.1,Brentford,"30,769",Paul Tierney
31,Tottenham,2.2,2–3,1.3,Bournemouth,"61,369",Andy Madley
31,Everton,1.4,1–3,1.8,Fulham,"39,241",Anthony Taylor
31,Manchester City,1.6,3–1,2.3,Leicester City,"53,329",Darren England
31,West Ham,1.8,2–2,2.7,Arsenal,"62,481",David Coote
31,Nott'ham Forest,0.7,0–2,3.5,Manchester Utd,"29,435",Simon Hooper
31,Leeds United,1.4,1–6,2.7,Liverpool,"36,657",Craig Pawson
32,Arsenal,2.5,3–3,1.3,Southampton,"60,175",Simon Hooper
32,Fulham,1.7,2–1,0.8,Leeds United,"24,356",Peter Bankes
32,Crystal Palace,0.5,0–0,0.4,Everton,"25,202",John Brooks
32,Brentford,2.7,1–1,1.5,Aston Villa,"17,098",Michael Salisbury
32,Liverpool,2.8,3–2,0.9,Nott'ham Forest,"53,254",Michael Oliver
32,Leicester City,2.4,2–1,0.9,Wolves,"32,053",Andy Madley
32,Bournemouth,1.5,0–4,2.4,West Ham,"10,465",Anthony Taylor
32,Newcastle Utd,3.7,6–1,1,Tottenham,"52,252",David Coote
33,Wolves,1.4,2–0,0.8,Crystal Palace,"30,294",Robert Jones
33,Aston Villa,1,1–0,0.1,Fulham,"41,046",Thomas Bramall
33,Leeds United,1.5,1–1,2.1,Leicester City,"36,666",Paul Tierney
33,Nott'ham Forest,2.4,3–1,2.3,Brighton,"28,808",Jarred Gillett
33,Chelsea,1.3,0–2,1.1,Brentford,"39,929",Andy Madley
33,West Ham,0.8,1–2,1.9,Liverpool,"62,473",Chris Kavanagh
33,Manchester City,2.5,4–1,0.5,Arsenal,"53,482",Michael Oliver
33,Everton,0.9,1–4,2.4,Newcastle Utd,"39,248",Andre Marriner
33,Southampton,0.5,0–1,0.9,Bournemouth,"30,414",Darren England
33,Tottenham,2.5,2–2,2,Manchester Utd,"61,586",Anthony Taylor
34,Crystal Palace,2.1,4–3,1.7,West Ham,"25,148",Craig Pawson
34,Brighton,3.3,6–0,0.8,Wolves,"31,584",David Coote
34,Brentford,1.6,2–1,0.7,Nott'ham Forest,"17,080",Peter Bankes
34,Manchester Utd,1.2,1–0,0.6,Aston Villa,"73,592",Jarred Gillett
34,Bournemouth,1.9,4–1,1.6,Leeds United,"10,434",Chris Kavanagh
34,Newcastle Utd,4.3,3–1,0.8,Southampton,"52,234",Anthony Taylor
34,Fulham,0.2,1–2,2.5,Manchester City,"24,498",Simon Hooper
34,Liverpool,2.2,4–3,2,Tottenham,"53,275",Paul Tierney
34,Leicester City,3.4,2–2,3.1,Everton,"32,173",Michael Oliver
34,Arsenal,1.7,3–1,0.8,Chelsea,"60,144",Robert Jones
28,Liverpool,1.8,1–0,0.9,Fulham,"52,602",Stuart Attwell
28,Manchester City,2.3,3–0,0.4,West Ham,"53,305",John Brooks
28,Brighton,2.3,1–0,1.4,Manchester Utd,"31,577",Andre Marriner
35,Tottenham,0.9,1–0,0.4,Crystal Palace,"61,093",Darren England
35,Wolves,0.8,1–0,1.5,Aston Villa,"31,641",Stuart Attwell
35,Bournemouth,1.2,1–3,1.3,Chelsea,"10,357",John Brooks
35,Manchester City,2.6,2–1,0.2,Leeds United,"53,406",Andy Madley
35,Liverpool,2.2,1–0,0.2,Brentford,"52,838",Anthony Taylor
35,Newcastle Utd,1.3,0–2,1.3,Arsenal,"50,267",Chris Kavanagh
35,West Ham,1.3,1–0,1.2,Manchester Utd,"62,477",Peter Bankes
35,Fulham,1.6,5–3,2.8,Leicester City,"24,442",Robert Jones
35,Brighton,3.2,1–5,2.3,Everton,"31,567",Simon Hooper
35,Nott'ham Forest,1.8,4–3,3.1,Southampton,"29,154",Michael Oliver
36,Leeds United,2.1,2–2,2.4,Newcastle Utd,"36,955",Simon Hooper
36,Aston Villa,1.2,2–1,1.4,Tottenham,"42,164",Peter Bankes
36,Chelsea,1.2,2–2,1.3,Nott'ham Forest,"40,030",Paul Tierney
36,Crystal Palace,1.5,2–0,0.3,Bournemouth,"25,034",Michael Salisbury
36,Southampton,0.4,0–2,1.4,Fulham,"28,978",Thomas Bramall
36,Manchester Utd,3.2,2–0,0.3,Wolves,"73,570",John Brooks
36,Everton,1.6,0–3,0.8,Manchester City,"39,376",Anthony Taylor
36,Brentford,3.4,2–0,0.2,West Ham,"17,075",Michael Oliver
36,Arsenal,0.9,0–3,1.7,Brighton,"60,139",Andy Madley
36,Leicester City,0.4,0–3,2.2,Liverpool,"32,225",Craig Pawson
25,Newcastle Utd,3.6,4–1,0.5,Brighton,"52,122",Robert Jones
37,Tottenham,1.8,1–3,1.3,Brentford,"61,514",Jarred Gillett
37,Liverpool,0.7,1–1,1.3,Aston Villa,"53,306",John Brooks
37,Fulham,1.7,2–2,1.6,Crystal Palace,"24,356",Joshua Smith
37,Bournemouth,1,0–1,1.4,Manchester Utd,"10,240",Chris Kavanagh
37,Wolves,1.6,1–1,2,Everton,"31,684",David Coote
37,Nott'ham Forest,0.6,1–0,0.6,Arsenal,"29,514",Anthony Taylor
37,West Ham,2.1,3–1,0.9,Leeds United,"62,478",Peter Bankes
37,Brighton,2.5,3–1,0.6,Southampton,"31,507",Paul Tierney
37,Manchester City,1.2,1–0,1.2,Chelsea,"53,490",Michael Oliver
37,Newcastle Utd,2.1,0–0,0.1,Leicester City,"52,152",Andre Marriner
32,Brighton,2.2,1–1,1.8,Manchester City,"31,388",Simon Hooper
32,Manchester Utd,5.2,4–1,1.9,Chelsea,"73,561",Stuart Attwell
38,Crystal Palace,1.4,1–1,0.5,Nott'ham Forest,"25,198",Thomas Bramall
38,Chelsea,2.2,1–1,1.7,Newcastle Utd,"40,130",Jarred Gillett
38,Manchester Utd,2.9,2–1,1.8,Fulham,"73,465",Robert Jones
38,Arsenal,2.8,5–0,0.5,Wolves,"60,095",Andre Marriner
38,Southampton,1.8,4–4,4,Liverpool,"31,129",Darren England
38,Everton,1,1–0,0.5,Bournemouth,"39,201",Stuart Attwell
38,Leicester City,1.4,2–1,1.4,West Ham,"32,183",Simon Hooper
38,Leeds United,1.5,1–4,2.2,Tottenham,"36,871",Anthony Taylor
38,Brentford,1.3,1–0,1.6,Manchester City,"17,120",John Brooks
